street,number,name,amenity,craft,healthcare,historic,leisure,office,public_transport,shop,tourism,geometry
проспект Свободи,20,Національний музей у Львові,,,,,,,,,museum,"POLYGON ((24.0276306 49.8432171, 24.0276539 49.843155, 24.0276152 49.843149, 24.0276463 49.843066, 24.0276777 49.8429822, 24.0277254 49.8429897, 24.0277527 49.8429167, 24.0285468 49.8430406, 24.0284336 49.8433423, 24.0276306 49.8432171), (24.0282296 49.8432099, 24.0283245 49.8432247, 24.0283702 49.843103, 24.0282753 49.8430881, 24.0282296 49.8432099))"
Вірменська вулиця,35,Львівський музей історії релігії,,,,,,,,,museum,"POLYGON ((24.0336171 49.843526, 24.0336181 49.8435065, 24.0336243 49.8433885, 24.0336261 49.843359, 24.0336273 49.8433298, 24.0334939 49.8433163, 24.0335135 49.843255, 24.0336245 49.8432675, 24.0336804 49.8430768, 24.0338595 49.8431035, 24.0338854 49.8430304, 24.0341115 49.8430638, 24.0341399 49.8429837, 24.0341515 49.842951, 24.0343742 49.8429839, 24.0342603 49.8433582, 24.0343422 49.8433689, 24.0343314 49.8434173, 24.0336171 49.843526), (24.0339244 49.8432038, 24.0339025 49.8432784, 24.0340978 49.8433023, 24.0341198 49.8432277, 24.0339244 49.8432038))"
,,Храм Святої Трійці,place_of_worship,,,,,,,,,"POLYGON ((24.0422877 49.8353952, 24.0418367 49.8355017, 24.0417466 49.8353204, 24.041791 49.8353134, 24.0423255 49.8351961, 24.0425884 49.8351385, 24.0426785 49.8353094, 24.0429443 49.8352511, 24.0428544 49.8350806, 24.043078 49.8350315, 24.0432547 49.8353667, 24.0426125 49.8355076, 24.0427129 49.8356981, 24.0426095 49.8357208, 24.0425266 49.8355634, 24.0423919 49.835593, 24.0422877 49.8353952), (24.0424624 49.8353569, 24.0425284 49.8353424, 24.0424934 49.835276, 24.0424274 49.8352905, 24.0424624 49.8353569))"
,,Личаківський цвинтар,,,,memorial,,,,,,"POLYGON ((24.0533003 49.8353561, 24.0527459 49.8345405, 24.0522996 49.833882, 24.0520602 49.8336588, 24.0507536 49.8328776, 24.0503666 49.8326397, 24.0499289 49.8321673, 24.0518071 49.8316206, 24.0514459 49.8310153, 24.0532242 49.8306029, 24.0536634 49.8304908, 24.055018 49.8301421, 24.0550676 49.8301284, 24.057343 49.8294896, 24.0575252 49.82945, 24.0577546 49.8294341, 24.0579668 49.8294454, 24.0580465 49.8294576, 24.0581603 49.8294917, 24.0582592 49.8295347, 24.0583369 49.8295763, 24.058404 49.829616, 24.0584603 49.8296576, 24.0585139 49.8296983, 24.0586158 49.8296533, 24.0588063 49.8297433, 24.0588894 49.8298004, 24.0589645 49.8298644, 24.0591405 49.8300429, 24.0592107 49.8301268, 24.0592458 49.8301782, 24.0594157 49.8304922, 24.0594012 49.8305907, 24.0596216 49.8308994, 24.0611126 49.8319333, 24.061149 49.8320188, 24.0606692 49.8327719, 24.0604909 49.8330546, 24.0604059 49.833246, 24.0603788 49.8334397, 24.0604073 49.8338069, 24.0604423 49.8341343, 24.0579423 49.8348449, 24.0577296 49.8345239, 24.057512 49.8341954, 24.0533003 49.8353561), (24.058504 49.8297127, 24.0584563 49.8296659, 24.0583774 49.8296068, 24.0582626 49.8295407, 24.0581486 49.8294918, 24.0580417 49.829463, 24.0579131 49.8294463, 24.0577814 49.8294398, 24.0576487 49.8294461, 24.0574995 49.8294623, 24.0573495 49.8294968, 24.0571877 49.8295598, 24.0570672 49.8296311, 24.0569563 49.8297302, 24.0568954 49.8298143, 24.0568482 49.829935, 24.0568435 49.8300612, 24.0568893 49.8301982, 24.0569639 49.8303002, 24.0572554 49.8305318, 24.057369 49.8304959, 24.0575689 49.8307139, 24.0576515 49.8308892, 24.0577893 49.8308695, 24.0589053 49.8304604, 24.0589423 49.8305058, 24.0592373 49.8303977, 24.0589924 49.8301262, 24.059032 49.8301049, 24.0590585 49.8300603, 24.0590633 49.8299952, 24.0590156 49.8299369, 24.0589525 49.8298968, 24.058867 49.8298815, 24.0587916 49.8298908, 24.058601 49.8296729, 24.058504 49.8297127))"
Театральна вулиця,18,Львівський Державний Природознавчий Музей,,,,,,,,,museum,"POLYGON ((24.0289493 49.842662, 24.0290881 49.8424025, 24.0293623 49.8424602, 24.0297088 49.842533, 24.0296543 49.8426409, 24.0295784 49.8426249, 24.029567 49.8426474, 24.0295349 49.842711, 24.029501 49.8427781, 24.0294488 49.8427671, 24.0294127 49.8427595, 24.0293536 49.8427471, 24.0289493 49.842662), (24.0291977 49.842642, 24.0293303 49.8426709, 24.0294021 49.8425335, 24.0292696 49.8425047, 24.0291977 49.842642))"
вулиця Лесі Українки,45,,university,,,,,,,,,"POLYGON ((24.0345325 49.8435426, 24.0345617 49.8435734, 24.0345927 49.8436062, 24.0343893 49.8438529, 24.0342309 49.8437986, 24.0341696 49.8437777, 24.0340964 49.8437412, 24.0340864 49.8436906, 24.0339488 49.8437019, 24.0339717 49.8438182, 24.0338917 49.8438247, 24.0338485 49.8436058, 24.0345325 49.8435426), (24.0342037 49.8436868, 24.0342124 49.8437229, 24.0342634 49.8437397, 24.0343205 49.8436972, 24.0342982 49.8436788, 24.0342037 49.8436868))"
проспект Святого Івана Павла II,35б,"Готель ""Патріарший""",,,,,,,,,motel,"POLYGON ((24.0363463 49.8041552, 24.0360441 49.8042117, 24.0356194 49.804291, 24.0355216 49.8040731, 24.0356697 49.8038238, 24.035884 49.8037436, 24.0358665 49.8036987, 24.0359523 49.8036848, 24.036038 49.8036709, 24.0360549 49.8037143, 24.0361055 49.8037061, 24.0361146 49.8037296, 24.0362279 49.8037112, 24.0362583 49.8037341, 24.0362844 49.8037969, 24.0362838 49.8038348, 24.0361528 49.8038592, 24.0361901 49.8039425, 24.0362462 49.803932, 24.0363463 49.8041552), (24.0359908 49.8038886, 24.035848 49.803949, 24.0357699 49.8040745, 24.0357997 49.8041406, 24.0359941 49.8041041, 24.0360219 49.8040989, 24.0360003 49.804051, 24.036059 49.80404, 24.0359908 49.8038886))"
вулиця Гетьмана Івана Мазепи,1а,Середня загальноосвітня школа № 81,school,,,,,,,,,"POLYGON ((24.0257059 49.8716098, 24.026222 49.871699, 24.0265979 49.871764, 24.0264396 49.8721442, 24.0255477 49.87199, 24.0257059 49.8716098), (24.0259858 49.8717786, 24.0259102 49.871965, 24.0263102 49.8720323, 24.0263858 49.871846, 24.0259858 49.8717786))"
Соборна площа,14,Торговий центр «Роксолана»,,,,,,,,mall,,"POLYGON ((24.0339779 49.8386734, 24.0339661 49.8387657, 24.0338366 49.8387991, 24.0338653 49.8384283, 24.0338744 49.8383247, 24.0342302 49.838321, 24.0344922 49.8383183, 24.0344167 49.8384666, 24.0343605 49.8386216, 24.0339779 49.8386734), (24.0342535 49.8384353, 24.0342346 49.8385901, 24.0343221 49.8385924, 24.0343576 49.8384383, 24.0342535 49.8384353))"
,,Геологічний та біологічний факультети,university,,,,,,,,,"POLYGON ((24.0314151 49.8342281, 24.0312743 49.8341328, 24.0319897 49.833702, 24.0325169 49.834065, 24.0322298 49.8342385, 24.0320169 49.8343671, 24.0319537 49.8344053, 24.0319064 49.8343727, 24.0315663 49.8341386, 24.0314373 49.8342166, 24.0314151 49.8342281), (24.0317677 49.8341092, 24.0319666 49.834242, 24.0322653 49.8340558, 24.0320664 49.8339231, 24.0317677 49.8341092))"
вулиця Максима Кривоноса,1,Львівський державний університет внутрішніх справ,university,,,,,,,,,"POLYGON ((24.0374962 49.8452234, 24.0375181 49.8452217, 24.0375372 49.8453187, 24.0367476 49.8453834, 24.0367284 49.8452856, 24.0369742 49.8452655, 24.0369644 49.8452157, 24.0367633 49.8452322, 24.0367712 49.8452728, 24.0365941 49.8452873, 24.0365832 49.8452169, 24.0365773 49.8451648, 24.0368801 49.845137, 24.0368715 49.8450884, 24.0371589 49.8450628, 24.03717 49.845126, 24.0373985 49.8451073, 24.037386 49.8450413, 24.0374926 49.8450324, 24.0375081 49.845104, 24.0375218 49.8451029, 24.0375359 49.8451017, 24.0375422 49.8451318, 24.0375138 49.8451342, 24.0375185 49.845158, 24.0374839 49.8451609, 24.0374962 49.8452234), (24.0373722 49.8452334, 24.0373657 49.8451997, 24.037187 49.8452141, 24.0371935 49.8452477, 24.0373722 49.8452334))"
Пекарська вулиця,1а,,college,,,,,,,,,"POLYGON ((24.0359314 49.838165, 24.0363803 49.8381074, 24.0364142 49.8382202, 24.0363548 49.8382276, 24.0363883 49.8383392, 24.0363039 49.8383497, 24.0363276 49.8384136, 24.0361778 49.8384217, 24.0361735 49.8384017, 24.0359972 49.8384133, 24.0359861 49.8383655, 24.0360443 49.838359, 24.0360103 49.8382456, 24.0359554 49.8382524, 24.0359468 49.8382317, 24.0359314 49.838165), (24.0360755 49.8382703, 24.0360985 49.8383516, 24.0362654 49.838332, 24.0362423 49.8382506, 24.0360755 49.8382703))"
вулиця Івана Огієнка,5,Клінічна лікарня Львівської залізниці,hospital,,hospital,,,,,,,"POLYGON ((24.0180483 49.8408981, 24.0180751 49.8408605, 24.0186667 49.8409947, 24.0186776 49.8409747, 24.0188231 49.8410154, 24.018937 49.8410484, 24.0189544 49.8410534, 24.0189172 49.8411226, 24.0188771 49.8411134, 24.0187052 49.8414502, 24.0187373 49.8414572, 24.0187036 49.8415198, 24.0184052 49.8414671, 24.0184121 49.8414504, 24.0179704 49.8413557, 24.0178602 49.8415716, 24.0176305 49.8415229, 24.0176782 49.8414294, 24.0173925 49.8413688, 24.0175295 49.8411005, 24.0175741 49.8410129, 24.0177103 49.8410418, 24.0175775 49.8413021, 24.017727 49.8413338, 24.0179674 49.8408685, 24.0180483 49.8408981), (24.0181628 49.8409787, 24.0180105 49.841277, 24.0184722 49.841375, 24.0185194 49.8412829, 24.0184455 49.8412672, 24.0185025 49.8411557, 24.0185764 49.8411714, 24.018625 49.8410764, 24.0181628 49.8409787))"
,,Велика Максиміліанська вежа №1,,,,ruins,,,,,,"POLYGON ((24.0233335 49.8353431, 24.0233975 49.8353002, 24.0234797 49.8352729, 24.0235712 49.8352644, 24.023662 49.8352754, 24.0237423 49.8353049, 24.0238034 49.8353496, 24.0238387 49.8354047, 24.0238444 49.8354642, 24.0238198 49.8355217, 24.0237676 49.8355709, 24.0236934 49.8356065, 24.0236054 49.8356246, 24.023513 49.8356233, 24.0234263 49.8356028, 24.0233546 49.8355652, 24.0233057 49.8355146, 24.0232849 49.8354565, 24.0232945 49.8353972, 24.0233335 49.8353431), (24.0235728 49.8353816, 24.0235436 49.8353852, 24.0235173 49.8353946, 24.0234968 49.8354088, 24.0234843 49.8354263, 24.0234809 49.8354455, 24.0234868 49.8354643, 24.0235015 49.835481, 24.0235234 49.835494, 24.0235506 49.8355019, 24.0235802 49.835504, 24.0236095 49.8355001, 24.0236355 49.8354905, 24.0236556 49.8354761, 24.0236676 49.8354586, 24.0236706 49.8354397, 24.0236646 49.8354212, 24.0236454 49.8354233, 24.023624 49.8354217, 24.0236043 49.8354159, 24.0235883 49.8354066, 24.0235775 49.8353946, 24.0235728 49.8353816))"
Клепарівська вулиця,35,Львівський державний університет безпеки життєдіяльності,university,,,,,,,,,"POLYGON ((24.0137251 49.8507684, 24.013738 49.8505936, 24.0138304 49.8505965, 24.0138532 49.8502888, 24.0136536 49.8502826, 24.0136929 49.8497517, 24.0138928 49.8497578, 24.0139162 49.8494412, 24.0138312 49.8494386, 24.0138447 49.8492568, 24.0143378 49.849272, 24.0143243 49.8494544, 24.0141723 49.8494497, 24.0141488 49.8497667, 24.0143985 49.8497744, 24.01436 49.8502944, 24.0141047 49.8502865, 24.014081 49.8506073, 24.0142223 49.8506117, 24.0142096 49.8507834, 24.0137251 49.8507684), (24.0138895 49.8501643, 24.0141234 49.8501716, 24.0141469 49.8498541, 24.0139132 49.8498469, 24.0138895 49.8501643))"
вулиця Володимира Винниченка,18,Львівська обласна державна адміністрація;Львівська обласна рада,,,,,,government,,,,"POLYGON ((24.0367706 49.8412652, 24.0369403 49.8412858, 24.0369301 49.841321, 24.0370847 49.8413398, 24.0370993 49.8412899, 24.0372599 49.8413094, 24.037245 49.8413607, 24.0374007 49.8413796, 24.0374149 49.8413308, 24.0375845 49.8413514, 24.0375695 49.8414027, 24.0377187 49.8414208, 24.0377332 49.8413713, 24.0378918 49.8413906, 24.0378497 49.8415348, 24.0377665 49.8415247, 24.0377374 49.8416244, 24.0378225 49.8416348, 24.037802 49.841705, 24.0377137 49.8416942, 24.0376834 49.8417979, 24.0377838 49.8418101, 24.0377693 49.8418598, 24.0378813 49.8418734, 24.0378663 49.841925, 24.037754 49.8419113, 24.0377428 49.8419496, 24.0366109 49.8418121, 24.0366894 49.8415434, 24.0367706 49.8412652), (24.0369103 49.8417626, 24.0375138 49.8418332, 24.0376042 49.8415116, 24.0370007 49.8414411, 24.0369103 49.8417626))"
,,,,,,,pitch,,,,,"POLYGON ((24.024193 49.8283962, 24.0237268 49.8275723, 24.0246344 49.8273586, 24.0251006 49.8281825, 24.024193 49.8283962))"
,,,,,,,track,,,,,"POLYGON ((24.024108 49.8284271, 24.0236465 49.8276349, 24.023617 49.8275568, 24.0236136 49.8274771, 24.0236352 49.8273975, 24.0236835 49.8273231, 24.0237531 49.8272573, 24.0238438 49.8272013, 24.0239491 49.8271592, 24.0240654 49.8271321, 24.0241885 49.8271214, 24.0243123 49.8271271, 24.0244322 49.8271495, 24.0245418 49.8271878, 24.0246372 49.8272391, 24.0247129 49.8273031, 24.024768 49.8273775, 24.0251856 49.8281155, 24.0252086 49.8281971, 24.0252126 49.8282775, 24.0251904 49.8283565, 24.0251426 49.8284307, 24.025073 49.8284966, 24.0249841 49.828552, 24.0248774 49.8285941, 24.0247596 49.8286217, 24.0246369 49.828632, 24.0245125 49.8286262, 24.024393 49.8286041, 24.0242837 49.8285662, 24.0241974 49.8285182, 24.0241281 49.8284554, 24.024108 49.8284271), (24.0237268 49.8275723, 24.024193 49.8283962, 24.0242563 49.8284515, 24.0243359 49.8284942, 24.0244275 49.8285253, 24.0245271 49.8285435, 24.0246304 49.8285478, 24.0247329 49.8285383, 24.02483 49.8285152, 24.0249176 49.8284795, 24.0249918 49.8284329, 24.0250493 49.8283774, 24.0250877 49.8283154, 24.0251052 49.8282496, 24.0251006 49.8281825, 24.0246344 49.8273586, 24.0245704 49.8273043, 24.0244908 49.8272615, 24.0243993 49.8272304, 24.0242996 49.8272122, 24.0241964 49.8272078, 24.0240939 49.8272173, 24.0239967 49.8272404, 24.0239091 49.827276, 24.0238349 49.8273226, 24.0237774 49.8273781, 24.0237389 49.8274401, 24.0237213 49.8275059, 24.0237268 49.8275723))"
,,Юність,,,,,stadium,,,,,"POLYGON ((24.024768 49.8273775, 24.0250087 49.8273222, 24.0254345 49.8280563, 24.0251856 49.8281155, 24.0252086 49.8281971, 24.0252126 49.8282775, 24.0251904 49.8283565, 24.0251426 49.8284307, 24.025073 49.8284966, 24.0249841 49.828552, 24.0248774 49.8285941, 24.0247596 49.8286217, 24.0246369 49.828632, 24.0245125 49.8286262, 24.024393 49.8286041, 24.0242837 49.8285662, 24.0241974 49.8285182, 24.0241281 49.8284554, 24.024108 49.8284271, 24.0238823 49.8284877, 24.0234237 49.827686, 24.0234668 49.8276761, 24.0236465 49.8276349, 24.023617 49.8275568, 24.0236136 49.8274771, 24.0236352 49.8273975, 24.0236835 49.8273231, 24.0237531 49.8272573, 24.0238438 49.8272013, 24.0239491 49.8271592, 24.0240654 49.8271321, 24.0241885 49.8271214, 24.0243123 49.8271271, 24.0244322 49.8271495, 24.0245418 49.8271878, 24.0246372 49.8272391, 24.0247129 49.8273031, 24.024768 49.8273775))"
вулиця Генерала Тараса Чупринки,70,Церква св. Климентія папи,place_of_worship,,,,,,,,,"POLYGON ((24.0068943 49.8301702, 24.0070696 49.8300239, 24.0071785 49.8300783, 24.0071621 49.8300919, 24.0072753 49.8301484, 24.007298 49.830129, 24.0073371 49.8300969, 24.0074642 49.8301603, 24.0074025 49.8302118, 24.0074628 49.8302414, 24.00756 49.8302904, 24.00745 49.8303822, 24.0075017 49.830408, 24.007426 49.8304711, 24.0073743 49.8304453, 24.0072566 49.8305435, 24.0070108 49.8304206, 24.0068587 49.8303451, 24.0068429 49.8303583, 24.0067339 49.830304, 24.0068943 49.8301702), (24.0071542 49.8303818, 24.0072887 49.8302682, 24.0071184 49.8301843, 24.0070921 49.8302065, 24.0070531 49.8301873, 24.0069738 49.8302543, 24.0070116 49.8302729, 24.0069826 49.8302973, 24.0071542 49.8303818))"
площа Генерала Петра Григоренка,5,Львівський Академічний Театр Воскресіння,theatre,,,,,,,,,"POLYGON ((24.0229131 49.8422549, 24.0229212 49.8421917, 24.0229264 49.8421508, 24.0229388 49.842054, 24.0228969 49.8420529, 24.0229088 49.8418753, 24.0232328 49.8418862, 24.0232238 49.8420224, 24.0232217 49.8420534, 24.0232098 49.8422321, 24.0233119 49.8423343, 24.0231512 49.8423997, 24.0229468 49.8423949, 24.0229474 49.8423643, 24.0227756 49.8423502, 24.0227901 49.8423025, 24.0228068 49.8422462, 24.0229131 49.8422549), (24.0231161 49.8422726, 24.0231401 49.842036, 24.0230388 49.8420317, 24.0230148 49.8422683, 24.0231161 49.8422726))"
,,Львівський іподром,,,,,sports_centre,,,,,"POLYGON ((24.0216592 49.7703405, 24.0245445 49.7703594, 24.0245237 49.7712992, 24.0244864 49.7729838, 24.0245407 49.7771056, 24.0228711 49.7796741, 24.0216469 49.7814156, 24.0204215 49.7813297, 24.0203581 49.782917, 24.0157886 49.7834411, 24.0154567 49.7816635, 24.0154711 49.7816195, 24.0154956 49.7783853, 24.0153375 49.7783717, 24.0150835 49.7783698, 24.0150942 49.7777969, 24.0150955 49.7777204, 24.0150961 49.7776697, 24.0150969 49.7776138, 24.0151015 49.7771999, 24.0153208 49.7772041, 24.0153515 49.7764822, 24.015479 49.7734873, 24.0154802 49.7734601, 24.0154817 49.773435, 24.0155063 49.7730101, 24.01685 49.7706976, 24.0171676 49.7703256, 24.0215357 49.7703395, 24.0216592 49.7703405))"
вулиця Миколи Лисенка,43,Храм Святого Іоана Золотоустого,place_of_worship,,,,,,,,,"POLYGON ((24.0452246 49.8422132, 24.0457199 49.8421754, 24.0457324 49.8422287, 24.0458106 49.8422211, 24.0458786 49.8425115, 24.0458295 49.8425163, 24.0458499 49.8426035, 24.045777 49.8426106, 24.0457842 49.8426416, 24.0453977 49.8426792, 24.0453849 49.8426243, 24.0453139 49.8426312, 24.0453008 49.8425753, 24.0453127 49.8425741, 24.0452616 49.8423561, 24.0452246 49.8422132), (24.0454234 49.842566, 24.0456995 49.8425408, 24.0456487 49.8423097, 24.0456192 49.8423124, 24.0456428 49.8424198, 24.045601 49.8424556, 24.0455449 49.8424607, 24.0454987 49.8424384, 24.0454777 49.8423427, 24.0453763 49.842352, 24.0454234 49.842566))"
Наукова вулиця,25,,school,,,,,,,,,"POLYGON ((23.9926587 49.8020774, 23.9930645 49.8020346, 23.9930227 49.8018693, 23.9929467 49.8018773, 23.9929299 49.8018108, 23.9931892 49.8017835, 23.9932848 49.8021612, 23.9931037 49.8021802, 23.9930899 49.802126, 23.9928646 49.8021497, 23.9929371 49.8024363, 23.9927511 49.8024559, 23.9927408 49.8024151, 23.9925171 49.8024387, 23.9925889 49.8027221, 23.9923925 49.8027428, 23.992298 49.8023694, 23.9922678 49.8023725, 23.9922131 49.8021562, 23.992256 49.8021517, 23.9921872 49.8018797, 23.9925998 49.8018362, 23.9925785 49.8017521, 23.9928018 49.8017286, 23.9928387 49.8018745, 23.9926134 49.8018982, 23.9926587 49.8020774), (23.9924366 49.8023546, 23.9927193 49.8023248, 23.9926671 49.8021182, 23.9923844 49.802148, 23.9924366 49.8023546))"
,,Львівська обласна клінічна лікарня,hospital,,hospital,,,,,,,"MULTIPOLYGON (((24.0505714 49.838111, 24.0501693 49.8382151, 24.0482917 49.8386919, 24.0477149 49.8388511, 24.0476893 49.8388921, 24.0475616 49.8390931, 24.0475265 49.8391532, 24.0462609 49.8395225, 24.0452128 49.8392522, 24.0448241 49.8391398, 24.044572 49.8388967, 24.0452715 49.8385988, 24.0461875 49.8383009, 24.046763 49.8381272, 24.0468286 49.8381087, 24.0470322 49.8380574, 24.0470296 49.8378293, 24.0470507 49.837671, 24.0470137 49.8375296, 24.0468172 49.8372478, 24.0467628 49.8371816, 24.0468323 49.8371578, 24.0470985 49.8370667, 24.0476174 49.8368891, 24.0480713 49.8367377, 24.0481805 49.8367039, 24.0482811 49.8368287, 24.0490231 49.8369709, 24.0497551 49.836736, 24.0507698 49.8364304, 24.0509131 49.8366193, 24.0512089 49.8370129, 24.051219 49.8370263, 24.0518206 49.8369056, 24.0518862 49.8368925, 24.0517116 49.8366196, 24.0520569 49.836542, 24.0526656 49.8375797, 24.0505714 49.838111)), ((24.0473829 49.8392827, 24.0476967 49.8398568, 24.0475824 49.8398973, 24.0478688 49.8403226, 24.0471677 49.8405383, 24.0466398 49.839506, 24.0473829 49.8392827)))"
вулиця Генерала Тараса Чупринки,71,Державний інститут проектування міст «Містопроект»,,,,,,government,,,,"POLYGON ((24.0051462 49.8278861, 24.0052724 49.8278143, 24.00525 49.8277979, 24.0054602 49.8276784, 24.0055326 49.8276373, 24.0057343 49.8277849, 24.0059536 49.8279454, 24.00597 49.8279361, 24.0060067 49.827963, 24.0059877 49.8279738, 24.0060194 49.827997, 24.0057481 49.8281513, 24.0057322 49.8281397, 24.0057034 49.8281561, 24.0055821 49.8282251, 24.0055629 49.828236, 24.0054594 49.8282949, 24.0050326 49.8279827, 24.0051708 49.8279041, 24.0051462 49.8278861), (24.0055075 49.8280911, 24.0057696 49.8279437, 24.0055207 49.8277595, 24.0052586 49.8279069, 24.0055075 49.8280911))"
